yaw1,yaw2,pitch1,pitch2,intensity
43,133,-2,-2,220869250.63602984
43,133,-2,-1,90803214.02038704
43,133,-2,0,0.0
43,133,-2,1,0.0
43,133,-1,-2,218385065.4625291
43,133,-1,-1,257949960.43888348
43,133,-1,0,136150862.76107737
43,133,-1,1,13507263.340400927
43,133,0,-2,60262463.45889309
43,133,0,-1,179090446.06758025
43,133,0,0,269513349.72175723
43,133,0,1,179065521.2630573
43,133,1,-2,0.0
43,133,1,-1,13476877.735752085
43,133,1,0,136157242.19535756
43,133,1,1,258236666.51155868
43,134,-2,-2,35655263.79160349
43,134,-2,-1,0.0
43,134,-2,0,0.0
43,134,-2,1,0.0
43,134,-1,-2,34303716.56732677
43,134,-1,-1,36414494.74627335
43,134,-1,0,0.0
43,134,-1,1,0.0
43,134,0,-2,0.0
43,134,0,-1,12332882.376807168
43,134,0,0,36547181.5547585
43,134,0,1,12303319.854894752
43,134,1,-2,0.0
43,134,1,-1,0.0
43,134,1,0,0.0
43,134,1,1,36496899.09504188
43,135,-2,-2,0.0
43,135,-2,-1,0.0
43,135,-2,0,0.0
43,135,-2,1,0.0
43,135,-1,-2,0.0
43,135,-1,-1,0.0
43,135,-1,0,0.0
43,135,-1,1,0.0
43,135,0,-2,0.0
43,135,0,-1,0.0
43,135,0,0,0.0
43,135,0,1,0.0
43,135,1,-2,0.0
43,135,1,-1,0.0
43,135,1,0,0.0
43,135,1,1,0.0
43,136,-2,-2,0.0
43,136,-2,-1,0.0
43,136,-2,0,0.0
43,136,-2,1,0.0
43,136,-1,-2,0.0
43,136,-1,-1,0.0
43,136,-1,0,0.0
43,136,-1,1,0.0
43,136,0,-2,0.0
43,136,0,-1,0.0
43,136,0,0,0.0
43,136,0,1,0.0
43,136,1,-2,0.0
43,136,1,-1,0.0
43,136,1,0,0.0
43,136,1,1,0.0
44,133,-2,-2,128645581.64532985
44,133,-2,-1,64187357.41908209
44,133,-2,0,0.0
44,133,-2,1,0.0
44,133,-1,-2,128994664.8854644
44,133,-1,-1,159542435.99907872
44,133,-1,0,99406514.12848428
44,133,-1,1,8758099.798644517
44,133,0,-2,37463708.615862206
44,133,0,-1,123828520.95278126
44,133,0,0,197628393.50849253
44,133,0,1,123842864.74432659
44,133,1,-2,0.0
44,133,1,-1,8771231.241878206
44,133,1,0,99468546.04979289
44,133,1,1,159189861.35929298
44,134,-2,-2,284664118.101611
44,134,-2,-1,122046124.05511397
44,134,-2,0,0.0
44,134,-2,1,0.0
44,134,-1,-2,273067833.09621656
44,134,-1,-1,339142144.19844574
44,134,-1,0,174218312.62980312
44,134,-1,1,27937739.065998998
44,134,0,-2,77240654.33396348
44,134,0,-1,225311350.88780951
44,134,0,0,361919449.1413978
44,134,0,1,225264764.58452982
44,134,1,-2,0.0
44,134,1,-1,27957454.515059907
44,134,1,0,174256404.43729392
44,134,1,1,339487582.11418957
44,135,-2,-2,99809332.45519632
44,135,-2,-1,21062902.245846298
44,135,-2,0,0.0
44,135,-2,1,0.0
44,135,-1,-2,92114525.94913062
44,135,-1,-1,100604967.74641006
44,135,-1,0,39675259.22891892
44,135,-1,1,0.0
44,135,0,-2,0.0
44,135,0,-1,63960390.131548546
44,135,0,0,100562809.94309016
44,135,0,1,63900879.47303461
44,135,1,-2,0.0
44,135,1,-1,0.0
44,135,1,0,39617039.581817225
44,135,1,1,100725516.30988678
44,136,-2,-2,0.0
44,136,-2,-1,0.0
44,136,-2,0,0.0
44,136,-2,1,0.0
44,136,-1,-2,0.0
44,136,-1,-1,0.0
44,136,-1,0,0.0
44,136,-1,1,0.0
44,136,0,-2,0.0
44,136,0,-1,0.0
44,136,0,0,0.0
44,136,0,1,0.0
44,136,1,-2,0.0
44,136,1,-1,0.0
44,136,1,0,0.0
44,136,1,1,0.0
45,133,-2,-2,0.0
45,133,-2,-1,0.0
45,133,-2,0,0.0
45,133,-2,1,0.0
45,133,-1,-2,0.0
45,133,-1,-1,0.0
45,133,-1,0,0.0
45,133,-1,1,0.0
45,133,0,-2,0.0
45,133,0,-1,0.0
45,133,0,0,0.0
45,133,0,1,0.0
45,133,1,-2,0.0
45,133,1,-1,0.0
45,133,1,0,0.0
45,133,1,1,0.0
45,134,-2,-2,124729414.96451715
45,134,-2,-1,48971535.16928278
45,134,-2,0,0.0
45,134,-2,1,0.0
45,134,-1,-2,137413112.94180396
45,134,-1,-1,160347893.6143526
45,134,-1,0,87227144.16408348
45,134,-1,1,0.0
45,134,0,-2,16012012.0056531
45,134,0,-1,119399937.09122396
45,134,0,0,171613273.13140324
45,134,0,1,119348220.07440466
45,134,1,-2,0.0
45,134,1,-1,0.0
45,134,1,0,87227929.40130866
45,134,1,1,160367388.53565484
45,135,-2,-2,318746860.36858493
45,135,-2,-1,137934900.76523817
45,135,-2,0,0.0
45,135,-2,1,0.0
45,135,-1,-2,302111435.3681201
45,135,-1,-1,394403015.9780657
45,135,-1,0,189845302.9214978
45,135,-1,1,33257653.152294938
45,135,0,-2,77478926.0521566
45,135,0,-1,244960969.80828747
45,135,0,0,499285019.95448935
